# Wavelenght Flux
4170.326 0.534
4170.673 0.508
4171.020 0.496
4171.367 0.474
4171.714 0.436
4172.061 0.422
4172.408 0.441
4172.755 0.440
4173.102 0.427
4173.449 0.424
4173.796 0.473
4174.142 0.500
4174.489 0.482
4174.836 0.473
4175.183 0.472
4175.530 0.493
4175.877 0.511
4176.224 0.504
4176.571 0.511
4176.918 0.502
4177.265 0.450
4177.612 0.457
4177.959 0.471
4178.306 0.486
4178.653 0.485
4179.000 0.476
4179.347 0.495
4179.694 0.524
4180.041 0.542
4180.388 0.517
4180.735 0.498
4181.082 0.503
4181.428 0.475
4181.775 0.467
4182.122 0.506
4182.469 0.524
4182.816 0.527
4183.163 0.516
4183.510 0.485
4183.857 0.484
4184.204 0.495
4184.551 0.494
4184.898 0.520
4185.245 0.537
4185.592 0.543
4185.939 0.531
4186.286 0.499
4186.633 0.474
4186.980 0.442
4187.327 0.443
4187.674 0.457
4188.021 0.490
4188.367 0.521
4188.714 0.504
4189.061 0.505
4189.408 0.516
4189.755 0.516
4190.102 0.516
4190.449 0.505
4190.796 0.501
4191.143 0.450
4191.490 0.460
4191.837 0.508
4192.184 0.527
4192.531 0.525
4192.878 0.539
4193.225 0.544
4193.572 0.547
4193.919 0.538
4194.266 0.541
4194.613 0.516
4194.960 0.484
4195.306 0.471
4195.653 0.487
4196.000 0.491
4196.347 0.469
4196.694 0.479
4197.041 0.508
4197.388 0.525
4197.735 0.484
4198.082 0.428
4198.429 0.438
4198.776 0.466
4199.123 0.487
4199.470 0.517
4199.817 0.511
4200.164 0.500
4200.511 0.498
4200.858 0.496
4201.205 0.526
4201.552 0.468
4201.899 0.440
4202.246 0.475
4202.592 0.515
4202.939 0.533
4203.286 0.507
4203.633 0.487
4203.980 0.484
4204.327 0.479
4204.674 0.476
4205.021 0.477
4205.368 0.504
4205.715 0.539
4206.062 0.525
4206.409 0.481
4206.756 0.476
4207.103 0.507
4207.450 0.548
4207.797 0.548
4208.144 0.518
4208.491 0.510
4208.838 0.514
4209.185 0.530
4209.531 0.519
4209.878 0.505
4210.225 0.491
4210.572 0.506
4210.919 0.532
4211.266 0.536
4211.613 0.514
4211.960 0.510
4212.307 0.527
4212.654 0.531
4213.001 0.526
4213.348 0.498
4213.695 0.517
4214.042 0.535
4214.389 0.532
4214.736 0.485
4215.083 0.414
4215.430 0.375
4215.777 0.421
4216.124 0.486
4216.470 0.549
4216.817 0.557
4217.164 0.517
4217.511 0.527
4217.858 0.557
4218.205 0.570
4218.552 0.558
4218.899 0.545
4219.246 0.550
4219.593 0.561
4219.940 0.571
4220.287 0.568
4220.634 0.585
4220.981 0.600
4221.328 0.591
4221.675 0.562
4222.022 0.536
4222.369 0.539
4222.716 0.551
4223.063 0.533
4223.410 0.541
4223.756 0.533
4224.103 0.509
4224.450 0.518
4224.797 0.499
4225.144 0.482
4225.491 0.473
4225.838 0.451
4226.185 0.365
4226.532 0.311
4226.879 0.327
4227.226 0.406
