# Wavelenght Flux
6803.474 1.350
6804.040 1.351
6804.606 1.355
6805.173 1.364
6805.739 1.364
6806.305 1.352
6806.872 1.336
6807.438 1.351
6808.004 1.358
6808.570 1.352
6809.137 1.352
6809.703 1.347
6810.269 1.346
6810.836 1.354
6811.402 1.355
6811.968 1.359
6812.535 1.365
6813.101 1.368
6813.667 1.359
6814.234 1.353
6814.800 1.335
6815.366 1.353
6815.932 1.367
6816.499 1.379
6817.065 1.381
6817.631 1.381
6818.198 1.374
6818.764 1.374
6819.330 1.373
6819.897 1.364
6820.463 1.360
6821.029 1.371
6821.596 1.374
6822.162 1.373
6822.728 1.379
6823.294 1.382
6823.861 1.381
6824.427 1.381
6824.993 1.379
6825.560 1.380
6826.126 1.379
6826.692 1.374
6827.259 1.372
6827.825 1.353
6828.391 1.348
6828.958 1.361
6829.524 1.373
6830.090 1.381
6830.656 1.383
6831.223 1.387
6831.789 1.386
6832.355 1.373
6832.922 1.368
6833.488 1.379
6834.054 1.383
6834.621 1.385
6835.187 1.380
6835.753 1.386
6836.320 1.385
6836.886 1.377
6837.452 1.379
6838.018 1.379
6838.585 1.376
6839.151 1.366
6839.717 1.354
6840.284 1.356
6840.850 1.348
6841.416 1.329
6841.983 1.347
6842.549 1.347
6843.115 1.340
6843.682 1.347
6844.248 1.368
6844.814 1.387
6845.380 1.386
6845.947 1.380
6846.513 1.375
6847.079 1.377
6847.646 1.383
6848.212 1.383
6848.778 1.383
6849.345 1.391
6849.911 1.393
6850.477 1.391
6851.044 1.383
6851.610 1.385
6852.176 1.391
6852.742 1.394
6853.309 1.392
6853.875 1.383
6854.441 1.363
6855.008 1.343
6855.574 1.350
6856.140 1.373
6856.707 1.380
6857.273 1.379
6857.839 1.367
6858.406 1.377
6858.972 1.382
6859.538 1.382
6860.104 1.370
6860.671 1.358
6861.237 1.349
6861.803 1.344
6862.370 1.365
6862.936 1.389
6863.502 1.394
6864.069 1.393
6864.635 1.400
6865.201 1.395
6865.768 1.389
6866.334 1.391
6866.900 1.419
6867.466 1.474
6868.033 1.463
6868.599 1.417
6869.165 1.344
6869.732 1.338
6870.298 1.368
6870.864 1.400
6871.431 1.394
6871.997 1.321
6872.563 1.369
6873.130 1.362
6873.696 1.361
6874.262 1.396
6874.828 1.372
6875.395 1.357
6875.961 1.346
6876.527 1.376
6877.094 1.395
6877.660 1.360
6878.226 1.341
6878.793 1.368
6879.359 1.391
6879.925 1.371
6880.492 1.354
6881.058 1.336
6881.624 1.343
6882.190 1.370
6882.757 1.371
6883.323 1.376
6883.889 1.393
6884.456 1.382
6885.022 1.362
6885.588 1.409
6886.155 1.395
6886.721 1.357
6887.287 1.328
6887.854 1.320
6888.420 1.391
6888.986 1.440
6889.552 1.407
6890.119 1.371
6890.685 1.320
6891.251 1.351
6891.818 1.393
6892.384 1.422
6892.950 1.410
6893.517 1.377
6894.083 1.342
6894.649 1.329
6895.216 1.342
6895.782 1.402
6896.348 1.428
6896.914 1.393
6897.481 1.334
6898.047 1.321
6898.613 1.366
6899.180 1.377
6899.746 1.400
6900.312 1.390
6900.879 1.363
6901.445 1.344
6902.011 1.327
6902.578 1.361
6903.144 1.373
6903.710 1.403
6904.276 1.408
6904.843 1.388
6905.409 1.365
6905.975 1.340
6906.542 1.351
6907.108 1.376
6907.674 1.390
6908.241 1.400
6908.807 1.394
6909.373 1.381
6909.940 1.348
6910.506 1.331
6911.072 1.351
6911.638 1.376
6912.205 1.386
6912.771 1.382
6913.337 1.373
6913.904 1.342
6914.470 1.283
6915.036 1.308
6915.603 1.358
6916.169 1.369
6916.735 1.363
6917.302 1.385
6917.868 1.382
6918.434 1.358
6919.000 1.368
6919.567 1.350
6920.133 1.351
6920.699 1.373
6921.266 1.404
6921.832 1.402
6922.398 1.395
6922.965 1.405
6923.531 1.395
6924.097 1.358
6924.664 1.336
6925.230 1.315
6925.796 1.327
6926.362 1.376
6926.929 1.376
6927.495 1.364
6928.061 1.371
6928.628 1.379
6929.194 1.372
6929.760 1.367
6930.327 1.333
6930.893 1.345
6931.459 1.350
6932.026 1.344
6932.592 1.323
6933.158 1.329
6933.724 1.345
6934.291 1.355
6934.857 1.355
6935.423 1.364
6935.990 1.373
6936.556 1.372
6937.122 1.372
6937.689 1.385
6938.255 1.362
6938.821 1.322
6939.388 1.336
6939.954 1.374
6940.520 1.363
6941.086 1.336
6941.653 1.356
6942.219 1.374
6942.785 1.349
6943.352 1.333
6943.918 1.346
6944.484 1.285
6945.051 1.260
6945.617 1.328
6946.183 1.392
6946.750 1.396
6947.316 1.389
6947.882 1.364
6948.448 1.345
6949.015 1.377
6949.581 1.379
6950.147 1.353
6950.714 1.341
6951.280 1.327
6951.846 1.337
6952.413 1.364
6952.979 1.371
6953.545 1.348
6954.112 1.324
6954.678 1.327
6955.244 1.345
6955.810 1.383
6956.377 1.363
6956.943 1.255
6957.509 1.234
6958.076 1.333
6958.642 1.384
6959.208 1.384
6959.775 1.346
6960.341 1.317
6960.907 1.354
6961.474 1.336
6962.040 1.287
6962.606 1.319
6963.172 1.391
6963.739 1.408
6964.305 1.406
6964.871 1.376
6965.438 1.351
6966.004 1.364
6966.570 1.392
6967.137 1.410
6967.703 1.417
6968.269 1.413
6968.836 1.417
6969.402 1.417
6969.968 1.410
6970.534 1.388
6971.101 1.368
6971.667 1.360
6972.233 1.378
6972.800 1.405
6973.366 1.414
6973.932 1.406
6974.499 1.396
6975.065 1.393
6975.631 1.395
6976.198 1.393
6976.764 1.394
6977.330 1.383
6977.896 1.316
6978.463 1.260
6979.029 1.297
6979.595 1.363
6980.162 1.398
6980.728 1.408
6981.294 1.399
6981.861 1.380
6982.427 1.382
6982.993 1.397
6983.560 1.414
6984.126 1.407
6984.692 1.402
6985.258 1.395
6985.825 1.383
6986.391 1.381
6986.957 1.347
6987.524 1.321
6988.090 1.340
6988.656 1.354
6989.223 1.319
6989.789 1.276
6990.355 1.319
6990.922 1.357
6991.488 1.363
6992.054 1.380
6992.620 1.375
6993.187 1.359
6993.753 1.326
6994.319 1.283
6994.886 1.289
6995.452 1.354
6996.018 1.403
6996.585 1.400
6997.151 1.413
6997.717 1.413
6998.284 1.380
6998.850 1.324
6999.416 1.254
6999.982 1.256
7000.549 1.347
7001.115 1.390
7001.681 1.391
7002.248 1.403
7002.814 1.391
7003.380 1.371
7003.947 1.370
7004.513 1.364
7005.079 1.305
7005.646 1.237
7006.212 1.280
7006.778 1.349
7007.344 1.371
7007.911 1.375
7008.477 1.388
7009.043 1.390
7009.610 1.393
7010.176 1.380
7010.742 1.367
7011.309 1.353
7011.875 1.327
7012.441 1.338
7013.008 1.390
7013.574 1.408
7014.140 1.401
7014.706 1.386
7015.273 1.356
7015.839 1.282
7016.405 1.228
7016.972 1.224
7017.538 1.281
7018.104 1.358
7018.671 1.396
7019.237 1.397
7019.803 1.381
7020.370 1.372
7020.936 1.388
7021.502 1.384
7022.068 1.387
7022.635 1.376
7023.201 1.358
7023.767 1.314
7024.334 1.284
7024.900 1.331
7025.466 1.373
7026.033 1.391
7026.599 1.392
7027.165 1.349
7027.732 1.288
7028.298 1.255
7028.864 1.310
7029.430 1.375
7029.997 1.391
7030.563 1.397
7031.129 1.398
7031.696 1.395
7032.262 1.394
7032.828 1.400
7033.395 1.405
7033.961 1.411
7034.527 1.408
7035.094 1.416
7035.660 1.429
7036.226 1.431
7036.792 1.414
7037.359 1.375
7037.925 1.299
7038.491 1.290
7039.058 1.347
7039.624 1.374
7040.190 1.335
7040.757 1.332
7041.323 1.391
7041.889 1.420
7042.456 1.410
7043.022 1.415
7043.588 1.416
7044.154 1.407
7044.721 1.387
7045.287 1.380
7045.853 1.396
7046.420 1.408
7046.986 1.413
7047.552 1.399
7048.119 1.402
7048.685 1.412
7049.251 1.416
7049.818 1.421
7050.384 1.411
7050.950 1.387
7051.516 1.348
7052.083 1.325
