# Wavelenght Flux
5278.663 0.990
5279.103 0.984
5279.542 0.970
5279.981 0.954
5280.420 0.958
5280.859 0.964
5281.299 0.920
5281.738 0.898
5282.177 0.937
5282.616 0.952
5283.055 0.894
5283.495 0.851
5283.934 0.881
5284.373 0.935
5284.812 0.969
5285.252 0.984
5285.691 0.995
5286.130 1.000
5286.569 0.993
5287.008 0.990
5287.448 0.981
5287.887 0.977
5288.326 0.966
5288.765 0.969
5289.204 0.979
5289.644 0.988
5290.083 0.994
5290.522 0.988
5290.961 0.991
5291.400 0.993
5291.840 0.985
5292.279 0.973
5292.718 0.962
5293.157 0.974
5293.597 0.974
5294.036 0.985
5294.475 0.988
5294.914 0.985
5295.353 0.972
5295.793 0.960
5296.232 0.928
5296.671 0.890
5297.110 0.884
5297.549 0.878
5297.989 0.842
5298.428 0.883
5298.867 0.966
5299.306 0.984
5299.745 0.979
5300.185 0.951
5300.624 0.930
5301.063 0.949
5301.502 0.950
5301.942 0.914
5302.381 0.928
5302.820 0.973
5303.259 0.992
5303.698 0.991
5304.138 0.995
5304.577 1.001
5305.016 1.006
5305.455 0.998
5305.894 0.996
5306.334 0.991
5306.773 0.950
5307.212 0.934
5307.651 0.964
5308.091 0.981
5308.530 0.996
5308.969 1.007
5309.408 1.007
5309.847 1.006
5310.287 1.001
5310.726 0.997
5311.165 0.995
5311.604 1.001
5312.043 1.002
5312.483 0.987
5312.922 0.977
5313.361 0.982
5313.800 0.993
5314.239 1.000
5314.679 0.997
5315.118 0.995
5315.557 0.994
5315.996 0.937
5316.436 0.896
5316.875 0.937
5317.314 0.990
5317.753 1.005
5318.192 0.993
5318.632 0.996
5319.071 0.992
5319.510 0.982
5319.949 0.981
5320.388 0.995
5320.828 0.993
5321.267 0.982
5321.706 0.970
5322.145 0.972
5322.584 0.988
5323.024 0.980
5323.463 0.925
5323.902 0.877
5324.341 0.916
5324.781 0.974
5325.220 0.982
5325.659 0.986
5326.098 0.994
5326.537 1.003
5326.977 0.972
5327.416 0.850
5327.855 0.701
5328.294 0.708
5328.733 0.850
5329.173 0.940
5329.612 0.955
5330.051 0.969
5330.490 0.995
5330.929 0.992
5331.369 0.996
5331.808 0.987
5332.247 0.956
5332.686 0.930
5333.126 0.953
5333.565 0.996
5334.004 1.005
5334.443 1.007
5334.882 1.011
5335.322 1.013
5335.761 1.003
5336.200 0.967
5336.639 0.936
5337.078 0.968
5337.518 1.002
5337.957 1.002
5338.396 1.011
5338.835 1.004
5339.274 0.959
5339.714 0.918
5340.153 0.910
5340.592 0.881
5341.031 0.891
5341.471 0.966
5341.910 1.011
5342.349 1.005
5342.788 0.999
5343.227 0.989
5343.667 0.996
5344.106 1.008
5344.545 1.006
5344.984 0.987
5345.423 0.927
5345.863 0.928
5346.302 0.988
5346.741 1.019
5347.180 1.019
5347.619 0.984
5348.059 0.945
5348.498 0.954
5348.937 0.940
5349.376 0.922
5349.816 0.951
5350.255 0.989
5350.694 1.007
5351.133 1.014
5351.572 1.008
5352.012 1.007
5352.451 1.006
5352.890 0.972
5353.329 0.960
5353.768 0.996
5354.208 1.019
5354.647 1.032
5355.086 1.025
5355.525 1.026
5355.965 1.023
5356.404 1.014
5356.843 1.013
5357.282 1.014
5357.721 1.019
5358.161 1.015
5358.600 1.022
5359.039 1.022
5359.478 1.019
5359.917 1.019
5360.357 1.020
5360.796 1.008
5361.235 0.985
5361.674 0.994
5362.113 0.983
5362.553 0.950
5362.992 0.967
5363.431 1.002
5363.870 1.001
5364.310 0.962
5364.749 0.925
5365.188 0.941
5365.627 0.985
5366.066 0.999
5366.506 0.993
5366.945 0.962
5367.384 0.955
5367.823 0.990
5368.262 1.020
5368.702 1.014
5369.141 0.973
5369.580 0.914
5370.019 0.930
5370.458 0.960
5370.898 0.887
5371.337 0.825
5371.776 0.904
5372.215 1.001
5372.655 1.030
5373.094 1.009
5373.533 0.984
5373.972 0.994
5374.411 1.028
5374.851 1.029
5375.290 1.035
5375.729 1.029
5376.168 1.018
5376.607 1.008
5377.047 1.011
5377.486 1.021
5377.925 1.027
5378.364 1.036
5378.803 1.030
5379.243 1.007
5379.682 1.006
5380.121 1.011
5380.560 0.981
5381.000 0.973
5381.439 1.008
5381.878 1.022
5382.317 1.020
5382.756 0.976
5383.196 0.936
5383.635 0.980
5384.074 1.014
5384.513 1.014
5384.952 1.015
5385.392 1.022
5385.831 1.020
5386.270 1.016
5386.709 1.014
5387.148 1.022
5387.588 1.027
5388.027 1.024
5388.466 1.013
5388.905 0.988
5389.345 0.974
5389.784 0.990
5390.223 1.008
5390.662 1.008
5391.101 0.986
5391.541 0.988
5391.980 1.014
5392.419 1.001
5392.858 0.950
5393.297 0.958
5393.737 0.995
5394.176 0.980
5394.615 0.972
5395.054 1.008
5395.494 1.030
5395.933 0.996
5396.372 0.919
5396.811 0.833
5397.250 0.877
5397.690 0.974
5398.129 1.001
5398.568 1.028
5399.007 1.038
5399.446 1.033
5399.886 0.999
5400.325 0.965
5400.764 0.984
5401.203 1.021
5401.642 1.033
5402.082 1.038
5402.521 1.025
5402.960 1.023
5403.399 0.970
5403.839 0.911
5404.278 0.937
5404.717 0.969
5405.156 0.906
5405.595 0.844
5406.035 0.911
5406.474 0.999
5406.913 1.009
5407.352 0.999
5407.791 1.030
5408.231 1.031
5408.670 0.996
5409.109 0.937
5409.548 0.900
5409.987 0.937
5410.427 0.964
5410.866 0.966
5411.305 1.006
5411.744 1.032
5412.184 1.037
5412.623 1.028
5413.062 1.034
5413.501 1.029
5413.940 1.024
5414.380 1.001
5414.819 0.957
5415.258 0.970
5415.697 1.017
5416.136 1.039
5416.576 1.036
5417.015 1.035
5417.454 1.043
5417.893 1.027
5418.332 0.992
5418.772 0.983
5419.211 1.008
5419.650 1.014
5420.089 0.994
5420.529 0.996
5420.968 1.005
5421.407 1.021
5421.846 1.037
5422.285 1.039
5422.725 1.045
5423.164 1.016
5423.603 0.959
5424.042 0.931
5424.481 0.966
5424.921 1.004
5425.360 1.018
5425.799 1.021
5426.238 1.019
5426.677 1.039
5427.117 1.060
5427.556 1.063
5427.995 1.058
5428.434 1.029
5428.874 0.954
5429.313 0.841
5429.752 0.864
5430.191 0.990
5430.630 1.047
5431.070 1.051
5431.509 1.040
5431.948 1.019
5432.387 0.978
5432.826 0.987
5433.266 1.026
5433.705 1.000
5434.144 0.913
5434.583 0.917
5435.023 0.991
5435.462 1.010
5435.901 0.982
5436.340 0.979
5436.779 1.002
5437.219 1.031
5437.658 1.039
5438.097 1.042
5438.536 1.034
5438.975 1.040
5439.415 1.053
5439.854 1.056
5440.293 1.052
5440.732 1.046
5441.171 1.048
5441.611 1.038
5442.050 1.049
5442.489 1.055
5442.928 1.057
5443.368 1.052
5443.807 1.056
5444.246 1.039
5444.685 0.996
5445.124 1.000
5445.564 1.021
5446.003 0.967
5446.442 0.851
5446.881 0.840
5447.320 0.966
5447.760 1.038
5448.199 1.039
5448.638 1.043
5449.077 1.049
5449.516 1.056
5449.956 1.055
5450.395 1.048
5450.834 1.042
5451.273 1.044
5451.713 1.044
5452.152 1.051
5452.591 1.058
5453.030 1.051
5453.469 1.037
5453.909 1.035
5454.348 1.031
5454.787 0.974
5455.226 0.856
5455.665 0.871
5456.105 0.994
5456.544 1.048
5456.983 1.054
5457.422 1.066
5457.861 1.065
5458.301 1.073
5458.740 1.070
5459.179 1.068
5459.618 1.057
5460.058 1.032
5460.497 1.019
5460.936 1.049
5461.375 1.058
5461.814 1.061
5462.254 1.025
5462.693 0.964
5463.132 0.960
5463.571 1.014
5464.010 1.038
5464.450 1.056
5464.889 1.064
5465.328 1.058
5465.767 1.039
5466.206 1.015
5466.646 1.028
5467.085 1.052
5467.524 1.066
5467.963 1.071
5468.403 1.065
5468.842 1.065
5469.281 1.063
5469.720 1.056
5470.159 1.030
5470.599 1.023
5471.038 1.044
5471.477 1.068
5471.916 1.071
5472.355 1.050
5472.795 1.032
5473.234 1.015
5473.673 1.003
5474.112 1.015
5474.551 1.059
5474.991 1.072
