# Wavelenght Flux
3272.980 -1.813
3273.252 0.805
3273.525 -0.465
3273.797 -0.817
3274.070 0.700
3274.342 1.977
3274.614 -1.597
3274.887 -0.951
3275.159 0.285
3275.432 -0.233
3275.704 0.057
3275.976 0.508
3276.249 -0.040
3276.521 -0.965
3276.794 -2.209
3277.066 -1.213
3277.338 -0.374
3277.611 -0.299
3277.883 -0.295
3278.156 1.088
3278.428 -0.191
3278.700 0.015
3278.973 1.352
3279.245 0.540
3279.518 -1.487
3279.790 0.311
3280.062 1.243
3280.335 -0.798
3280.607 -1.876
3280.880 -0.004
3281.152 -0.786
3281.424 -0.765
3281.697 -0.579
3281.969 1.110
3282.242 -0.958
3282.514 0.939
3282.786 0.468
3283.059 -1.031
3283.331 -0.101
3283.604 -0.686
3283.876 0.322
3284.148 0.230
3284.421 -0.617
3284.693 -0.144
3284.966 0.494
3285.238 0.590
3285.510 0.406
3285.783 -0.472
3286.055 -0.744
3286.328 -0.131
3286.600 0.404
3286.872 -0.707
3287.145 -1.142
3287.417 0.035
3287.690 0.217
3287.962 0.267
3288.234 0.747
3288.507 1.146
3288.779 -0.151
3289.052 0.704
3289.324 1.044
3289.596 0.451
3289.869 -1.069
3290.141 -1.201
3290.414 0.193
3290.686 0.102
3290.958 -1.052
3291.231 -0.206
3291.503 -0.744
3291.776 -0.296
3292.048 1.309
3292.320 1.079
3292.593 0.122
3292.865 -0.432
3293.138 0.285
3293.410 0.980
3293.682 0.082
3293.955 0.206
3294.227 0.133
3294.500 0.321
3294.772 -0.689
3295.044 -0.120
3295.317 0.679
3295.589 0.064
3295.862 0.701
3296.134 0.322
3296.406 0.533
3296.679 -0.167
3296.951 -0.095
3297.224 -0.263
3297.496 -0.750
3297.768 -0.405
3298.041 0.038
3298.313 0.411
3298.586 0.025
3298.858 -0.217
3299.130 0.174
3299.403 0.321
3299.675 -0.483
3299.948 0.093
3300.220 -0.031
3300.492 -0.367
3300.765 0.080
3301.037 0.163
3301.310 0.881
3301.582 0.509
3301.854 0.684
3302.127 0.467
3302.399 -0.201
3302.672 -0.119
3302.944 0.283
3303.216 0.017
3303.489 0.517
3303.761 0.493
3304.034 -0.327
3304.306 -0.271
3304.578 -0.175
3304.851 -0.099
3305.123 0.512
3305.396 -0.065
3305.668 0.225
3305.940 0.327
3306.213 -0.463
3306.485 -0.173
3306.758 -0.369
3307.030 -0.909
3307.302 -0.037
3307.575 0.358
3307.847 -0.179
3308.120 -0.458
3308.392 0.538
3308.664 0.253
3308.937 -0.025
3309.209 -0.633
3309.482 0.296
3309.754 -0.508
3310.026 -0.283
3310.299 0.164
3310.571 0.133
3310.844 -0.552
3311.116 -0.448
3311.388 0.229
3311.661 -0.154
3311.933 -0.418
3312.206 0.220
3312.478 0.023
3312.750 -0.502
3313.023 0.146
3313.295 0.354
3313.568 0.297
3313.840 -0.056
3314.112 0.159
3314.385 0.254
3314.657 -0.006
3314.930 -0.136
3315.202 0.107
3315.474 0.053
3315.747 -0.427
3316.019 0.198
3316.292 0.304
3316.564 -0.198
3316.836 0.004
3317.109 -0.167
3317.381 -0.060
3317.654 -0.107
3317.926 -0.651
3318.198 -0.780
3318.471 -0.212
3318.743 0.320
3319.016 0.421
3319.288 -0.248
3319.560 -0.246
3319.833 -0.090
3320.105 0.014
3320.378 -0.006
3320.650 -0.416
3320.922 0.017
3321.195 0.372
3321.467 -0.138
3321.740 0.569
3322.012 0.431
3322.284 -0.166
3322.557 0.202
3322.829 -0.083
3323.102 -0.070
3323.374 -0.482
3323.646 0.439
3323.919 0.298
3324.191 -0.207
3324.464 0.270
3324.736 0.178
3325.008 0.142
3325.281 0.284
3325.553 -0.177
3325.826 0.069
3326.098 -0.087
3326.370 -0.485
3326.643 -0.166
3326.915 -0.238
3327.188 -0.164
3327.460 0.198
3327.732 -0.031
3328.005 0.095
3328.277 0.240
3328.550 0.265
3328.822 0.208
3329.094 0.007
3329.367 0.259
3329.639 0.066
3329.912 -0.226
3330.184 0.706
3330.456 0.513
3330.729 -0.063
3331.001 0.088
3331.274 0.267
3331.546 0.251
3331.818 0.145
3332.091 -0.035
3332.363 -0.175
3332.636 0.071
3332.908 0.168
3333.180 0.288
3333.453 0.230
3333.725 0.419
3333.998 0.075
3334.270 -0.187
3334.542 -0.195
3334.815 -0.186
3335.087 0.281
3335.360 0.105
3335.632 -0.079
3335.904 0.074
3336.177 -0.102
3336.449 -0.345
3336.722 -0.108
3336.994 0.413
3337.266 -0.073
3337.539 -0.392
3337.811 0.036
3338.084 0.121
3338.356 0.329
3338.628 -0.302
3338.901 -0.257
3339.173 -0.325
3339.446 -0.194
3339.718 -0.116
3339.990 0.564
3340.263 -0.420
3340.535 -0.410
3340.808 0.400
3341.080 -0.243
3341.352 0.111
3341.625 0.164
3341.897 -0.014
3342.170 0.035
3342.442 -0.101
3342.714 0.354
3342.987 -0.110
3343.259 -0.120
3343.532 0.092
3343.804 -0.143
3344.076 -0.007
3344.349 0.328
3344.621 0.030
3344.894 -0.205
3345.166 -0.116
3345.438 0.178
3345.711 -0.213
3345.983 -0.206
3346.256 -0.074
3346.528 0.516
3346.800 0.197
3347.073 -0.086
3347.345 0.180
3347.618 0.300
3347.890 0.013
3348.162 0.076
3348.435 0.162
3348.707 0.337
3348.980 0.235
3349.252 0.367
3349.524 -0.140
3349.797 -0.258
3350.069 0.195
3350.342 0.292
3350.614 0.259
3350.886 0.145
3351.159 -0.013
